Period,UrbanAgent,RuralAgent,TotalAgent,UrbanMaleAccount,RuralMaleAccount,TotalMaleAccount,UrbanFemaleAccount,RuralFemaleAccount,TotalFemaleAccount,TransactionsNo,TransactionsAmount
March'22,614238,536975,1151213,31976559,31198467,63175026,20286832,25340031,45626863,360484932,77021.9
February'22R,615505,532549,1148054,31292726,32857730,64150456,20502405,31162170,51664575,317919659,68162.8
January'22,607988,527225,1135213,30584866,32296545,62881411,20015118,30834715,50849833,345358719,73393.3
December'21,599309,524149,1123458,29570596,31730786,61301382,19443790,30443590,49887380,341055623,71182.5
November'21,586463,520391,1106854,28772089,31376787,60148876,18990648,30206605,49197253,323750672,67966.8
October'21,640126,515065,1155191,28100707,31111484,59212191,18601530,30026664,48628194,334778325,67589.7
September'21,630932,511413,1142345,27364434,30779615,58144049,18219830,29804800,48024630,324962401,65141.4
August'21,632704,528930,1161634,26589183,30277810,56866993,17751241,29452430,47203671,328974694,62230.2
July'21,619183,523212,1142395,25875479,30013795,55889274,17320428,29217749,46538177,326375159,66387.5
June'21,605707,525437,1131144,24932704,30047309,54980013,16740100,29238012,45978112,319820772,62993.9
May'21,572387,514284,1086671,23224547,29536123,52760670,16091942,29002488,45094430,346701611,71246.9
April'21,552485,509296,1061781,22080753,29595245,51675998,15324545,29202481,44527026,304978609,63441.2
March'21,558440,510817,1069257,22841855,30185668,53027523,15751576,33746268,49497844,307268419,59642.4
February'21,551324,503457,1054781,22786291,30159030,52945321,15628874,33530002,49158876,279663337,55055.1
January'21,545922,498665,1044587,22494860,29573622,52068482,15337136,32891520,48228656,299234698,57289.1
December'20,557908,500989,1058897,22256299,29235589,51491888,15136033,32468406,47604439,299506884,56556.8
November'20,550261,494260,1044521,21959844,28823377,50783221,14842472,31982801,46825273,281307626,53598.3
October'20,543602,485075,1028677,21665390,28437659,50103049,14553727,31540706,46094433,290180430,53258.8
September'20,539251,477804,1017055,21323011,27821439,49144450,14208224,31222628,45430852,273008126,49121.2
August'20,535382,474054,1009436,21133616,27634442,48768058,13988695,30928496,44917191,269697875,41403.8
July'20,531823,471182,1003005,20815763,27547505,48363268,13721374,30289261,44010635,310570637,63000.0
June'20,526912,471579,998491,19975964,25284382,45260346,13186731,30146894,43333625,256097767,44830.6
May'20,525412,470490,995902,19818403,25039498,44857901,12979323,29897343,42876666,281763062,47376.0
April'20,524355,470168,994523,19442522,23498728,42941250,12728066,29260997,41989063,217564950,29029.2
March'20,523869,469631,993500,18799915,22764623,41564538,12112067,28703206,40815273,235858514,39785.3
February'20,520289,465625,985914,18652915,22598283,41251198,11998083,28420841,40418924,226109447,41334.8
January'20,518621,462916,981537,18488225,22499677,40987902,11763135,27989257,39752392,230091053,42101.0
December'19,517170,454374,971544,18187463,22127272,40314735,11533054,27648878,39181932,227422938,40647.6
November'19,514872,450518,965390,18229880,21980725,40210605,11076999,27298312,38375311,230422358,37826.9
October'19,508409,444483,952892,17734734,21575935,39310669,11082872,26994953,38077825,227243822,37688.2
September'19,508592,441358,949950,17455856,21180162,38636018,10793312,26542991,37336303,212361529,35433.0
August'19,489226,461814,951040,16939243,20720220,37659463,10218765,25703658,35922423,204216839,35512.4
July'19,484662,457432,942094,16755398,20642697,37398095,10102731,25587193,35689924,227410021,37477.6
June'19,489768,444356,934124,16667112,20101428,36768540,10014004,25268950,35282954,199531493,31708.4
May'19,476911,454338,931249,16539066,19221211,35760277,9961471,24731827,34693298,231379578,42236.2
April'19,469604,458930,928534,15995201,19272927,35268128,9614098,23396870,33010968,211345626,34975.8
March'19,469924,449263,919187,16309906,18893678,35203584,9650309,22682108,32332417,209074068,34678.4
February'19,465264,443832,909096,16491881,18770253,35262134,9393600,22707749,32101349,194771264,31512.6
January'19,462725,436353,899078,16563125,18742867,35305992,9502619,22477593,31980212,214621317,34621.1
December'18,481022,405449,886471,14992449,20962440,35954889,8479124,23079786,31558910,210087204,32093.0
Note: R= Revised,,,,,,,,,,,